LINK_TYPE,SCOPE,ORIGIN,PATH_TYPE,ELEMENT_PATH,SRC_ID,DST_ID,ELEMENT_POSITION,ALT_TEXT,LINK_TEXT,HREF_LANG,NOFOLLOW,UGC,SPONSORED,TARGET,NOOPENER,NOREFERRER,IMAGE_DISPLAY_WIDTH,IMAGE_DISPLAY_HEIGHT,IMAGE_WIDTH_ATTRIBUTE,IMAGE_HEIGHT_ATTRIBUTE
4,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/header/div/div[@class='site-header__wrapper__center']/div/h1/a[@class='site-header__logo-overlay-image']/span/div/img,1,36,Header,NITA FC SRL,,,False,False,False,,False,False,-1,-1,120,53
4,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/nav/div/div/div/div[2]/div/h1/a[@class='site-header__logo-image']/div/img,1,36,Navigation,NITA FC SRL,,,False,False,False,,False,False,-1,-1,120,53
4,1,1,5,//body/div[@id='PageContainer']/div[@id='shopify-section-sections--25012168655212__header']/div/nav/div/div/div/div[2]/div/h1/a[@class='site-header__logo-overlay-image']/span/div/img,1,36,Navigation,NITA FC SRL,,,False,False,False,,False,False,-1,-1,120,53
4,1,1,5,//body/div[@id='PageContainer']/div[@id='MainContent']/div/div/div/div/div/div/div/div[@class='swiper-wrapper']/div/div/div[1]/img,1,37,Content,,,,False,False,False,,False,False,-1,-1,1050,1867
4,1,1,5,//body/div[@id='PageContainer']/div[@id='MainContent']/div/div/div/div/div/div/div/div[@class='swiper-wrapper']/div/div/div[2]/img,1,38,Content,,,,False,False,False,,False,False,-1,-1,3456,1867
4,2,1,2,//body/div[@id='PageContainer']/div[@id='MainContent']/section[@id='shopify-section-template--25012168327532__custom_liquid_Ux8iBQ']/div/div/div/div/div[1]/img,1,39,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
4,2,1,2,//body/div[@id='PageContainer']/div[@id='MainContent']/section[@id='shopify-section-template--25012168327532__custom_liquid_Ux8iBQ']/div/div/div/div/div[2]/img,1,40,Content,,,,False,False,False,,False,False,-1,-1,-1,-1
4,1,1,5,//body/div[@id='PageContainer']/div[@id='MainContent']/section[@id='shopify-section-template--25012168327532__image_with_text_overlay_y6P6wk']/div/div/div[@class='image-with-text-overlay__grid--background']/div[@class='image-with-text-overlay__desktop-image--original']/div/img,1,41,Content,,,,False,False,False,,False,False,-1,-1,1920,1080
4,1,1,5,//body/div[@id='PageContainer']/div[@id='MainContent']/section[@id='shopify-section-template--25012168327532__image_with_text_overlay_y6P6wk']/div/div/div[@class='image-with-text-overlay__grid--background']/div[@class='image-with-text-overlay__mobile-image--original']/div/img,1,42,Content,,,,False,False,False,,False,False,-1,-1,1920,2560
4,2,1,2,//body/div[@class='footer-wrapper']/section/div/div/div/footer/div[@class='footer-logo-container']/img,1,43,Footer,,,,False,False,False,,False,False,-1,-1,-1,-1
3,1,1,5,//head/link[8],1,44,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
3,1,1,5,//head/link[9],1,45,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
3,1,1,5,//head/link[10],1,46,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
3,1,1,5,//head/link[11],1,47,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
6,1,1,2,//head/link[21],1,1,Head,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,33,48,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,22,49,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,46,50,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,21,51,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,30,52,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,45,53,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,1,4,2,,12,54,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,2,4,2,,4,55,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,1,4,2,,15,56,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,25,57,,,,,False,False,False,,False,False,-1,-1,-1,-1
